iter	Logloss
0	0.6891840584
1	0.6856712005
2	0.6824441231
3	0.6790383985
4	0.6762449908
5	0.6738479608
6	0.6713452759
7	0.6690583707
8	0.6665563525
9	0.6643718847
10	0.6624944014
11	0.6607112218
12	0.6590470166
13	0.6573319334
14	0.656088629
15	0.6545794119
16	0.6532706229
17	0.6518695072
18	0.6506503085
19	0.6497970975
20	0.648384129
21	0.6473859828
22	0.6462997825
23	0.6454112044
24	0.6446752316
25	0.6439437895
26	0.6432399257
27	0.6426254261
28	0.6420431224
29	0.6413434588
30	0.6407012041
31	0.6399902152
32	0.6395403013
33	0.6389073572
34	0.6383201518
35	0.6379015207
36	0.6373697849
37	0.6368534761
38	0.6364350449
39	0.6358990481
40	0.6353850959
41	0.6348367708
42	0.6344940278
43	0.6341519486
44	0.6337202182
45	0.6333387891
46	0.6328883852
47	0.6325677854
48	0.6322647605
49	0.6319308093
50	0.6317006404
51	0.6313721242
52	0.6311003155
53	0.6308436988
54	0.6305956565
55	0.6302903155
56	0.6300819304
57	0.6298983786
58	0.6297194124
59	0.629494154
60	0.6291432076
61	0.6288473077
62	0.6285274529
63	0.6283243869
64	0.6281390552
65	0.6278657681
66	0.6275981944
67	0.6273717069
68	0.6271717541
69	0.6269679548
70	0.6267940411
71	0.6266018308
72	0.6264255808
73	0.6261863651
74	0.6259258467
75	0.6258149162
76	0.6256311933
77	0.6254772865
78	0.6253300177
79	0.6251578896
80	0.6249822947
81	0.6247978037
82	0.6245901345
83	0.6243525189
84	0.6241468731
85	0.6239846934
86	0.6238409697
87	0.6236744536
88	0.6235928927
89	0.6233932124
90	0.6232816528
91	0.6230669717
92	0.6229158158
93	0.6227930991
94	0.6226265829
95	0.6224647163
96	0.6223235493
97	0.6221575462
98	0.6219952882
99	0.621963185
100	0.6217873727
101	0.621678248
102	0.6215789064
103	0.6214435079
104	0.621269342
105	0.6211257923
106	0.6209850572
107	0.6208358492
108	0.6206508538
109	0.6204824998
110	0.6203063716
111	0.6201772023
112	0.6200386123
113	0.6198523907
114	0.6197811028
115	0.6196655836
116	0.6195746917
117	0.6194864117
118	0.6194000476
119	0.6192260383
120	0.6190902687
121	0.6189969043
122	0.6188843011
123	0.6187640802
124	0.6185740323
125	0.6184219604
126	0.6183368022
127	0.6181778227
128	0.6180726692
129	0.6178705743
130	0.6176973302
131	0.6175788311
132	0.6174933715
133	0.6173341629
134	0.617183836
135	0.6169438985
136	0.6168097667
137	0.6166762407
138	0.6165039126
139	0.6163119023
140	0.6162111027
141	0.6160542219
142	0.6159093416
143	0.615799298
144	0.615700142
145	0.6155906753
146	0.6154709268
147	0.6153465636
148	0.6152026979
149	0.6151015563
150	0.6150120066
151	0.6149267382
152	0.6147625932
153	0.6146019904
154	0.6144757575
155	0.614372436
156	0.6141968817
157	0.6141082422
158	0.6139578776
159	0.6138591158
160	0.6137245375
161	0.6136053833
162	0.6134975167
163	0.6134397773
164	0.6133651241
165	0.6131988543
166	0.6130180011
167	0.6129836051
168	0.61291281
169	0.6128362232
170	0.6127232839
171	0.6126362009
172	0.612523018
173	0.612403374
174	0.6122949363
175	0.6121975194
176	0.6121361017
177	0.6120801305
178	0.6119732755
179	0.611867093
180	0.6117097426
181	0.6115657841
182	0.6114354264
183	0.6113430968
184	0.6112230875
185	0.6110661544
186	0.610973219
187	0.6109244077
188	0.6107749939
189	0.6106429201
190	0.6105608172
191	0.6104590581
192	0.6102808428
193	0.6101558448
194	0.6100054976
195	0.6099045472
196	0.6098452484
197	0.609745301
198	0.6095998236
199	0.6095089579
200	0.609426168
201	0.6092927376
202	0.6091780503
203	0.6090970692
204	0.6089554992
205	0.6088412786
206	0.608723939
207	0.6086527062
208	0.6085107942
209	0.6083898341
210	0.6082420407
211	0.608148485
212	0.608026232
213	0.6079267282
214	0.6078532691
215	0.6077298973
216	0.6076087227
217	0.6074766808
218	0.607374687
219	0.6072986075
220	0.6072155016
221	0.6071085626
222	0.6069994987
223	0.6069029602
224	0.6068234661
225	0.6067216056
226	0.6066332704
227	0.6065392886
228	0.6064729864
229	0.6063425215
230	0.6062238195
231	0.6060993838
232	0.6060469056
233	0.6059613909
234	0.6058700237
235	0.6057689342
236	0.605686611
237	0.6056111084
238	0.6054994821
239	0.6053773219
240	0.6053186057
241	0.6051891031
242	0.6051109308
243	0.6050137488
244	0.6049262774
245	0.6048146193
246	0.6047438937
247	0.6046457696
248	0.604568122
249	0.6044887525
250	0.6043776248
251	0.6042678334
252	0.6041737212
253	0.6040073122
254	0.6038476979
255	0.6037181692
256	0.6036011107
257	0.6035155206
258	0.6033715564
259	0.6032044779
260	0.6030689518
261	0.602909007
262	0.6027632339
263	0.6026500308
264	0.60255373
265	0.6024680558
266	0.6023693201
267	0.6022570764
268	0.6021761822
269	0.6020770116
270	0.6019287254
271	0.6018595971
272	0.6017090035
273	0.6015536821
274	0.6014465518
275	0.6013016454
276	0.6011902018
277	0.6011179805
278	0.6010091138
279	0.6008148802
280	0.6007027727
281	0.6005859172
282	0.6004763983
283	0.6003763466
284	0.6002565894
285	0.6001277622
286	0.6000116342
287	0.5999380245
288	0.59981058
289	0.5996951129
290	0.5995330405
291	0.5993969868
292	0.5993008947
293	0.5991278448
294	0.5989821559
295	0.5988915394
296	0.5987467027
297	0.5986630489
298	0.5985773603
299	0.5984175633
300	0.5983471566
301	0.5982283155
302	0.5980999752
303	0.5979295487
304	0.5978158586
305	0.5976574095
306	0.597567996
307	0.597459767
308	0.5973666113
309	0.5972602433
310	0.5971614901
311	0.5970180738
312	0.5969007283
313	0.5967682198
314	0.5966575037
315	0.5965336449
316	0.5964315872
317	0.5963318254
318	0.5962099203
319	0.5960977201
320	0.5959585387
321	0.5957852048
