iter	Passed	Remaining
0	8	8665
1	16	8276
2	24	8156
3	32	8065
4	40	8116
5	48	8065
6	57	8125
7	64	8055
8	73	8059
9	81	8034
10	88	7998
11	96	7905
12	103	7878
13	111	7836
14	119	7856
15	126	7806
16	134	7790
17	142	7770
18	149	7744
19	157	7724
20	165	7693
21	172	7664
22	179	7641
23	187	7630
24	195	7627
25	204	7646
26	211	7634
27	219	7634
28	227	7625
29	235	7621
30	243	7599
31	251	7597
32	258	7577
33	266	7584
34	275	7586
35	283	7591
36	291	7587
37	299	7589
38	307	7585
39	316	7603
40	324	7601
41	332	7589
42	340	7580
43	348	7580
44	357	7576
45	365	7580
46	373	7581
47	382	7578
48	391	7589
49	400	7604
50	409	7612
51	417	7610
52	425	7609
53	434	7604
54	443	7613
55	451	7606
56	459	7607
57	467	7596
58	476	7601
59	485	7605
60	493	7598
61	501	7587
62	511	7601
63	520	7612
64	529	7611
65	548	7767
66	558	7773
67	567	7774
68	576	7773
69	585	7776
70	594	7777
71	604	7789
72	614	7797
73	624	7820
74	634	7829
75	643	7819
76	652	7815
77	659	7795
78	668	7788
79	675	7773
80	683	7756
81	691	7745
82	700	7738
83	708	7724
84	716	7712
85	724	7701
86	733	7694
87	741	7684
88	750	7677
89	758	7665
90	766	7653
91	773	7637
92	783	7639
93	790	7623
94	798	7610
95	807	7601
96	816	7597
97	825	7594
98	833	7584
99	839	7557
100	849	7563
101	857	7551
102	866	7547
103	875	7540
104	884	7537
105	892	7527
106	900	7518
107	908	7506
108	916	7493
109	925	7485
110	933	7479
111	942	7470
112	950	7461
113	958	7447
114	965	7432
115	974	7422
116	982	7414
117	990	7406
118	999	7396
119	1007	7386
120	1015	7375
121	1023	7366
122	1031	7355
123	1042	7363
124	1051	7361
125	1061	7360
126	1069	7349
127	1077	7341
128	1085	7330
129	1094	7324
130	1102	7312
131	1111	7307
132	1120	7305
133	1130	7304
134	1139	7299
135	1147	7288
136	1156	7282
137	1164	7273
138	1174	7276
139	1183	7272
140	1194	7275
141	1203	7270
142	1212	7264
143	1220	7253
144	1228	7244
145	1237	7237
146	1245	7229
147	1255	7229
148	1263	7219
149	1272	7210
150	1280	7197
151	1288	7189
152	1296	7176
153	1304	7167
154	1313	7158
155	1321	7149
156	1330	7145
157	1338	7135
158	1347	7125
159	1355	7115
160	1363	7103
161	1372	7097
162	1380	7088
163	1388	7077
164	1396	7067
165	1404	7057
166	1413	7048
167	1420	7033
168	1428	7024
169	1437	7016
170	1446	7014
171	1456	7009
172	1464	6999
173	1472	6988
174	1481	6982
175	1489	6973
176	1498	6967
177	1506	6956
178	1515	6949
179	1522	6937
180	1530	6927
181	1539	6917
182	1548	6914
183	1557	6905
184	1567	6904
185	1575	6896
186	1584	6889
187	1593	6881
188	1601	6873
189	1609	6862
190	1617	6851
191	1625	6841
192	1633	6831
193	1642	6822
194	1650	6812
195	1658	6802
196	1666	6794
197	1677	6793
198	1688	6795
199	1699	6796
200	1711	6801
201	1719	6793
202	1727	6783
203	1735	6773
204	1745	6768
205	1754	6763
206	1762	6753
207	1771	6744
208	1779	6736
209	1787	6726
210	1796	6716
211	1804	6705
212	1812	6695
213	1820	6685
214	1829	6678
215	1837	6669
216	1845	6658
217	1854	6651
218	1862	6642
219	1871	6635
220	1879	6624
221	1888	6617
222	1896	6606
223	1904	6598
224	1912	6588
225	1921	6579
226	1929	6569
227	1937	6560
228	1945	6550
229	1954	6542
230	1961	6531
231	1971	6524
232	1978	6512
233	1985	6500
234	1993	6489
235	2001	6480
236	2010	6471
237	2018	6461
238	2025	6450
239	2034	6443
240	2042	6431
241	2050	6421
242	2057	6409
243	2065	6399
244	2072	6387
245	2080	6376
246	2088	6365
247	2095	6354
248	2103	6344
249	2111	6333
250	2118	6322
251	2126	6312
252	2134	6302
253	2142	6291
254	2150	6283
255	2158	6273
256	2167	6266
257	2175	6257
258	2184	6248
259	2191	6237
260	2200	6229
261	2208	6219
262	2216	6209
263	2223	6200
264	2232	6191
265	2240	6183
266	2249	6174
267	2257	6165
268	2265	6155
269	2273	6145
270	2281	6136
271	2289	6128
272	2297	6118
273	2305	6108
274	2314	6100
275	2320	6088
276	2329	6079
277	2336	6069
278	2345	6061
279	2352	6050
280	2361	6042
281	2369	6031
282	2377	6022
283	2384	6011
284	2393	6004
285	2401	5994
286	2409	5985
287	2416	5975
288	2425	5966
289	2432	5955
290	2441	5948
291	2448	5937
292	2457	5929
293	2464	5918
294	2472	5909
295	2480	5899
296	2488	5889
297	2496	5880
298	2503	5870
299	2511	5859
300	2518	5849
301	2526	5838
302	2534	5829
303	2541	5818
304	2548	5807
305	2556	5797
306	2563	5785
307	2570	5775
308	2577	5765
309	2585	5755
310	2593	5745
311	2600	5735
312	2607	5724
313	2615	5713
314	2622	5702
315	2629	5691
316	2647	5703
317	2654	5693
318	2662	5683
319	2669	5673
320	2676	5662
321	2684	5652
322	2691	5641
323	2699	5631
324	2706	5621
325	2714	5611
326	2721	5601
327	2729	5591
328	2736	5581
329	2743	5570
330	2751	5560
331	2758	5549
332	2765	5539
333	2772	5528
334	2780	5518
335	2787	5508
336	2795	5498
337	2801	5487
338	2809	5478
339	2817	5468
340	2824	5457
341	2831	5447
342	2838	5437
343	2846	5428
344	2853	5418
345	2861	5408
346	2868	5398
347	2876	5389
348	2884	5380
349	2891	5370
350	2899	5361
351	2907	5351
352	2915	5343
353	2923	5335
354	2932	5328
355	2941	5321
356	2950	5314
357	2960	5308
358	2969	5302
359	2977	5294
360	2986	5285
361	2994	5276
362	3002	5268
363	3011	5262
364	3021	5255
365	3029	5246
366	3036	5238
367	3045	5229
368	3053	5221
369	3061	5213
370	3070	5205
371	3077	5195
372	3085	5186
373	3093	5177
374	3100	5167
375	3108	5158
376	3115	5148
377	3124	5140
378	3132	5131
379	3155	5148
380	3162	5138
381	3169	5127
382	3176	5117
383	3184	5109
384	3192	5099
385	3199	5089
386	3206	5079
387	3214	5069
388	3221	5060
389	3228	5050
390	3236	5041
391	3243	5031
392	3251	5021
393	3258	5011
394	3265	5002
395	3273	4993
396	3281	4983
397	3288	4974
398	3295	4964
399	3303	4955
400	3310	4945
401	3319	4937
402	3327	4928
403	3335	4920
404	3342	4910
405	3350	4901
406	3357	4891
407	3365	4882
408	3373	4874
409	3380	4865
410	3388	4856
411	3396	4847
412	3404	4838
413	3411	4828
414	3419	4819
415	3426	4810
416	3434	4801
